City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
352,sorong,-0.8833,131.25,29.51,64,100,3.26,ID,1670384665
353,okhotsk,59.3833,143.3,-24.93,93,42,2.48,RU,1670384665
354,havelock,34.8791,-76.9013,18.99,89,40,2.57,US,1670384666
355,grand gaube,-20.0064,57.6608,26.88,70,6,5.81,MU,1670384666
356,itaituba,-4.2761,-55.9836,22.53,97,99,0.88,BR,1670384667
357,souillac,-20.5167,57.5167,25.21,83,75,5.66,MU,1670384667
358,bilma,18.6853,12.9164,18.83,17,100,2.93,NE,1670384668
359,bathsheba,13.2167,-59.5167,23.36,96,20,2.57,BB,1670384668
360,kupang,-10.1667,123.5833,30.32,74,40,3.09,ID,1670384668
361,lincoln,40.8,-96.667,0.71,71,0,2.06,US,1670384455
362,cervo,43.6702,-7.4101,12.18,86,100,1.84,ES,1670384669
